video_name,phase,extraversion,neuroticism,agreeableness,conscientiousness,openness
Znixev2a1AI.000.mp4,train,1,1,0,2,2
zNHM8iNyTO4.005.mp4,train,1,2,2,3,0
zFVjcb45pjI.002.mp4,train,0,0,0,0,0
0n2vWTs6XwA.001.mp4,train,0,0,0,1,0
FoWuHvikyqU.004.mp4,train,2,1,0,0,2
6CRet5sD6xI.003.mp4,train,0,0,0,0,0
7s3itKIXww0.002.mp4,train,1,0,0,0,0
X7S71Som15M.002.mp4,train,1,2,1,0,1
RbX4q4KceVk.004.mp4,train,1,1,2,1,2
ySEeioc339E.004.mp4,train,1,1,1,1,1
54TGLGvIm_8.003.mp4,train,3,3,2,3,3
cLaZxEf1nE4.001.mp4,train,1,2,1,1,2
On2c_8sU8Vw.002.mp4,train,2,2,0,2,2
rqfvIjzegpI.000.mp4,train,3,3,3,3,3
kDJigDGDJTo.003.mp4,train,2,1,3,1,1
1hpZ2ecWqtI.002.mp4,train,2,1,1,1,1
9yZEb6bdxNY.000.mp4,train,3,3,3,3,3
f0LnGz5Z6kA.002.mp4,train,3,2,0,1,3
ASDpn9yOYAo.002.mp4,train,2,1,2,1,1
--Ymqszjv54.001.mp4,train,2,1,1,3,3
Q43qO4HC6mA.000.mp4,train,1,1,0,0,1
HH03EXo0TB0.004.mp4,train,1,2,3,0,1
8PXQ_5tUv74.001.mp4,train,2,2,2,2,2
eFzN_frNW8g.002.mp4,train,1,1,2,3,2
nR0h3WFbPfA.004.mp4,train,2,1,3,1,2
p6UMx8dwHZQ.000.mp4,train,1,1,1,0,1
jq1dLOVUQJA.000.mp4,train,3,3,3,3,3
w989xx44UQI.003.mp4,train,3,3,2,3,3
6TkMavTyimI.005.mp4,train,1,2,3,3,0
0hWbtuRVUgM.001.mp4,train,2,2,3,2,3
ax8wm9K41og.000.mp4,train,1,0,1,1,2
eXtskPoi58A.000.mp4,train,3,3,3,3,3
7wsksuXYoMY.001.mp4,train,3,3,2,0,1
-9BZ8A9U7TE.004.mp4,train,2,2,2,0,2
alucqviYJFE.003.mp4,train,1,1,3,2,1
ZO5JoyVTat8.005.mp4,train,1,0,1,0,0
5f6s8cwA7WQ.005.mp4,train,3,3,3,3,3
59Smv7wl--w.005.mp4,train,0,1,1,3,0
9o10YrQykMk.000.mp4,train,3,3,2,3,2
Fz1BcPpjNXY.001.mp4,train,0,0,0,0,0
KLY518hfGhU.001.mp4,train,3,2,3,3,2
yOzHZOg95Ug.005.mp4,train,0,0,0,0,0
nOFHZ_s7Et4.001.mp4,train,3,3,1,2,3
U22Jy0m5xSQ.005.mp4,train,3,3,2,3,3
YGrCXe2-fVk.004.mp4,train,3,3,3,3,3
T4eZ81aJwJI.003.mp4,train,1,0,2,2,1
3JzvXA-Zfbs.002.mp4,train,0,0,0,0,0
cFGjJg-2zOk.002.mp4,train,3,3,3,3,2
3AyjQQYmqU4.000.mp4,train,1,2,2,2,1
F0VbEO_0Ybc.000.mp4,train,1,2,1,2,0
41NNb7cucVo.002.mp4,train,2,2,3,2,3
Ay7bZ7Sgx9Q.001.mp4,train,1,0,0,2,0
Hklc55y7vUI.000.mp4,train,0,0,1,0,0
40rn4A64Bdk.001.mp4,train,1,0,0,0,0
YzcZY1mUZfc.001.mp4,train,3,3,3,2,3
za14O68VN3E.001.mp4,train,0,0,0,0,0
LBrmHHzyIiY.001.mp4,train,2,1,2,2,3
rvB9DYAKHpk.001.mp4,train,0,1,1,0,1
hIFNZ_ycngg.002.mp4,train,0,1,1,1,0
TNtcyfM9jak.003.mp4,train,2,1,2,0,3
PRplbrM70sg.001.mp4,train,3,3,3,3,2
AVLEr0sYFhs.000.mp4,train,0,0,0,0,1
WD1WsbooU2w.001.mp4,train,0,0,0,0,0
tcmYlyeqwuI.004.mp4,train,1,1,3,1,1
FZYN9ZFngFM.001.mp4,train,1,1,1,2,1
c7tczvW3_dQ.000.mp4,train,1,2,2,2,1
eOUVFTqPeGk.002.mp4,train,3,2,3,1,2
3WmWJ1lNy-U.001.mp4,train,1,0,0,0,0
HPEemWelY1E.000.mp4,train,3,2,2,2,2
U9cidDFDTQE.001.mp4,train,0,0,2,3,0
OMHlfDF99Mw.004.mp4,train,1,1,0,1,1
d4iSwRMV0bA.002.mp4,train,0,1,0,0,1
CLGJCzz6tIU.001.mp4,train,3,2,3,1,1
sBw7VHQ74SY.005.mp4,train,2,2,0,1,3
NpiglwrZzsA.004.mp4,train,0,0,0,0,2
puLXzqUvm_U.003.mp4,train,0,0,0,0,0
-awAu11kBZ0.000.mp4,train,1,1,0,0,1
iJGHwoJKEpA.002.mp4,train,0,0,0,0,0
62ngcaBjRCY.005.mp4,train,2,1,1,0,3
TD2jIXMD-SM.001.mp4,train,0,0,1,2,1
2TMl5EMrdVI.002.mp4,train,0,0,1,0,0
1pm5uoU85FI.003.mp4,train,1,1,1,3,1
rUGAiuYHNgE.000.mp4,train,0,1,0,2,2
WuHLxhCSnGs.004.mp4,train,0,0,1,0,1
Lt89YrQHF_w.002.mp4,train,2,1,1,1,1
mY1ZTvNVkSA.002.mp4,train,3,3,3,3,3
orlXEgAepGo.003.mp4,train,1,1,0,0,1
LLP-oZfo8oE.002.mp4,train,0,0,0,0,0
UvX6ctu2ObM.002.mp4,train,0,0,0,0,0
2DZb5yIc6Fg.001.mp4,train,0,0,0,0,0
P0ZzjnS8E24.000.mp4,train,3,2,3,2,2
F5kL7RWS_f0.000.mp4,train,0,0,0,1,0
y1e8xPAaL9k.002.mp4,train,1,1,1,2,0
YjXUMygVw7U.002.mp4,train,1,0,0,0,1
3LAaFUSGvsU.004.mp4,train,2,3,1,3,2
cOirMOCpdo8.003.mp4,train,1,1,1,1,2
gkKHdsF6du4.003.mp4,train,3,3,2,2,2
l0qApUuiDjo.005.mp4,train,0,0,0,0,0
P0a209IS614.005.mp4,train,1,2,3,3,2
KJ643kfjqLY.001.mp4,train,3,1,2,2,3
jPpZkVzQywk.001.mp4,train,0,0,0,0,1
4CSV8L7aVik.000.mp4,train,3,1,1,1,2
AS8snUf9eX0.000.mp4,train,0,2,1,1,2
L_gmlaz-0s4.003.mp4,train,2,2,3,2,1
pQy4omHIf7o.000.mp4,train,1,1,0,0,1
dVbo9Ftlyl0.004.mp4,train,1,1,0,1,2
vQEZ5KF9I4E.003.mp4,train,0,1,1,3,1
1uCO2d0pFg0.000.mp4,train,1,2,3,3,3
w989xx44UQI.000.mp4,train,3,2,1,1,2
sNs4yCA11wk.002.mp4,train,3,2,3,3,2
t1PKNXE-IiM.005.mp4,train,3,3,2,2,3
RlUuWWWFrhM.005.mp4,train,1,1,2,1,0
p-V78q8dtYo.005.mp4,train,0,0,0,0,0
IWAT58l2Chg.001.mp4,train,2,3,3,1,1
sOkGz6gEmGk.003.mp4,train,3,3,3,2,3
8Yo-27O0P38.003.mp4,train,3,2,2,1,2
pEYFpmjwKC0.004.mp4,train,0,0,0,0,0
fL8VYpOTLSM.001.mp4,train,1,1,0,0,1
SfldZBPyPFo.003.mp4,train,0,0,1,0,0
NXG4n1pr4Ok.001.mp4,train,0,1,0,0,2
3gKpBq-1yG4.002.mp4,train,0,0,0,0,0
YC3X1DcnUrk.005.mp4,train,1,1,2,1,3
grhDDOLsBho.000.mp4,train,2,1,2,0,1
XPV4pavXh94.001.mp4,train,3,2,2,3,3
rGTn2uaCAT0.004.mp4,train,3,3,3,2,3
mkWfG-4vvGc.000.mp4,train,3,2,2,3,3
VTv4BAYgJpk.003.mp4,train,1,2,2,2,2
MswJxdf-3Fc.002.mp4,train,1,1,2,2,2
3lV-sr3NOUo.004.mp4,train,0,0,0,0,0
k4QmzZuQl9s.003.mp4,train,2,2,3,2,1
mhF4kYTlVUE.002.mp4,train,3,1,1,1,1
KYvbRwTCtaU.003.mp4,train,3,1,1,0,2
DTZeyoKUPx4.002.mp4,train,0,0,2,0,0
KmHe8urs3LI.005.mp4,train,0,0,0,0,0
xRLaEoXAsjk.001.mp4,train,3,3,2,2,2
jxt1W2WRNHQ.000.mp4,train,1,1,3,2,1
djsoQkroHpo.005.mp4,train,1,0,1,2,1
8ZHpqRJ39HA.005.mp4,train,1,2,0,3,1
p6UMx8dwHZQ.003.mp4,train,0,0,0,1,0
n6JNJurop2U.003.mp4,train,3,3,3,2,2
LSqijVxP0EM.002.mp4,train,0,0,0,0,1
IHJn3UHXCMs.000.mp4,train,0,0,0,0,1
YryBLVZgJj0.005.mp4,train,0,1,0,3,1
xbAb00tGeBQ.000.mp4,train,3,3,2,1,1
W7BbL3NZvrU.004.mp4,train,0,1,0,0,1
mflgXFsGU9w.002.mp4,train,0,0,2,2,1
2PSGksTyrnI.001.mp4,train,0,1,0,1,0
SIpQm4G4DDg.004.mp4,train,0,1,0,0,0
ZRrduU1CXqU.003.mp4,train,1,2,2,2,2
TSGpD2NBeCQ.002.mp4,train,3,2,3,1,0
o7J2fWIJndQ.005.mp4,train,3,3,2,1,3
DyZlhseSuec.004.mp4,train,3,3,3,3,3
t899haDGi38.002.mp4,train,3,3,3,2,3
XEpdSMQfEOs.002.mp4,train,3,3,1,3,3
omQ5CGXJKS8.001.mp4,train,3,2,2,3,3
RGuHfwIRKpA.000.mp4,train,0,1,1,3,0
VTrqCDYHVqU.002.mp4,train,0,0,1,2,0
uf_sIIw4zxY.002.mp4,train,2,3,1,3,3
FkzVX7SQ9wE.001.mp4,train,2,2,3,3,3
XkeSLRAftxA.004.mp4,train,3,3,3,3,3
A7exx3pEPkE.003.mp4,train,0,0,0,0,0
nKLhatlbqEw.005.mp4,train,2,2,2,1,1
IFF47jVKMj8.003.mp4,train,2,2,2,2,2
YXz6s1XNOLs.005.mp4,train,2,1,1,1,1
rD6NViDdyOU.001.mp4,train,1,3,2,1,3
Or2_bP4lWYI.004.mp4,train,1,3,3,3,1
B4ducm9sydg.000.mp4,train,0,0,1,2,0
3ccY8jYkI5o.000.mp4,train,3,3,2,3,3
nLuAoNAOGcQ.000.mp4,train,3,3,3,3,3
zH9pTx5_ZwY.004.mp4,train,1,0,1,1,1
sqnW6xXYTKg.003.mp4,train,3,3,2,2,3
SCnQFpdklMg.004.mp4,train,0,2,1,1,1
C_NtwmmF2Ys.002.mp4,train,0,0,0,0,0
39o1zJFeM7E.003.mp4,train,3,3,3,3,3
d-cZdeTp0jo.001.mp4,train,0,1,0,0,0
nCWEEoJfjgE.000.mp4,train,2,2,3,2,1
KnbEca4Ibwk.002.mp4,train,2,0,1,0,1
fDw_PAgW07o.003.mp4,train,0,0,0,0,0
_Py_lytyY5A.005.mp4,train,3,1,2,0,3
REAxeTWo1QM.002.mp4,train,1,2,1,2,1
5-mwIFjOWZ4.000.mp4,train,2,1,2,1,1
CQMH9Qguuao.000.mp4,train,1,2,3,2,2
8gvBbE6iZNo.005.mp4,train,1,3,2,3,1
wr4dP9MuHME.005.mp4,train,3,1,0,1,3
modNfUPt3F4.005.mp4,train,2,2,3,3,3
FU1ak530DDo.001.mp4,train,1,0,1,0,2
OwI3Q-qUqDw.001.mp4,train,0,0,0,2,0
uMCRfie1lkc.001.mp4,train,0,1,1,2,1
6WSr4IW6cNI.000.mp4,train,2,2,3,2,2
kppgmuWEv-A.001.mp4,train,1,0,0,0,3
J30sMEMrKjA.001.mp4,train,3,3,2,1,2
A0braVJH3Pw.000.mp4,train,1,0,1,1,2
E3z1D7CKoOA.005.mp4,train,0,0,0,0,0
cvg03XGFjCk.004.mp4,train,2,1,2,3,3
G7QTNbKbu_4.005.mp4,train,0,1,0,1,1
vqLtOsoNPnU.004.mp4,train,3,3,3,3,3
O14mSiNfYDo.001.mp4,train,2,1,1,2,2
Egogv6acOd0.004.mp4,train,0,0,0,0,0
hOXvRgxjfik.004.mp4,train,1,0,0,1,3
kDP6_hiBR0o.005.mp4,train,2,3,1,1,3
59Smv7wl--w.001.mp4,train,0,1,3,3,1
V9OuGDPnqHI.000.mp4,train,3,2,3,1,3
4xdT0Uedsro.000.mp4,train,1,2,0,2,0
2uAJJH7B5aw.000.mp4,train,3,2,1,2,2
pOBn7AuGIuI.003.mp4,train,2,2,2,3,3
y4Ej1YSEQf0.000.mp4,train,3,3,3,3,3
_X6_C_Oy9VA.004.mp4,train,2,1,2,3,2
-mt-IKgGhuY.004.mp4,train,1,3,3,1,2
2TbU3Eg2i4A.004.mp4,train,0,0,0,0,0
6N02tjYPLh8.000.mp4,train,0,0,1,1,1
IPjl2LdPMn0.004.mp4,train,2,2,3,3,2
lxnV9X8T2Zc.003.mp4,train,3,3,3,3,2
ogSLrHVeqLI.003.mp4,train,2,1,1,1,2
vLAHfIjmRMc.005.mp4,train,3,3,2,1,3
5kY-Iv6UkeU.003.mp4,train,0,0,0,0,0
uwUkp63db18.003.mp4,train,0,1,1,3,0
CuGuiOZ48Ig.002.mp4,train,2,0,1,3,2
ncmnmmmWEpU.005.mp4,train,3,3,3,2,2
p7-JUvStF4w.004.mp4,train,0,0,0,0,1
hnMp0eX28es.001.mp4,train,2,1,3,0,1
5Mc-mjLvvGU.003.mp4,train,0,1,0,0,0
kwcpINU9LLk.004.mp4,train,2,3,1,3,3
0hWbtuRVUgM.005.mp4,train,3,3,2,3,1
2f7rLXwzP3s.000.mp4,train,3,3,1,2,3
l3IoZ_QmOQo.004.mp4,train,3,3,3,1,3
hT83GkLYIFs.002.mp4,train,2,1,2,2,2
JBdLI6AhJrw.000.mp4,train,2,1,2,1,1
TD2jIXMD-SM.002.mp4,train,1,1,1,2,0
38fE5B4ghw0.005.mp4,train,3,2,2,1,3
puJ_NbKzRTE.003.mp4,train,1,1,0,0,2
sNs4yCA11wk.001.mp4,train,3,3,3,3,2
4KD3XCMsIBs.004.mp4,train,3,2,0,1,3
gX20EUUZc9M.004.mp4,train,3,1,2,2,3
BLKXsX7-WIg.003.mp4,train,1,1,1,0,1
OhHg1lyxe4I.002.mp4,train,0,0,0,0,0
8e4nnel_x-M.001.mp4,train,2,2,2,2,1
4vdJGgZpj4k.005.mp4,train,0,1,0,1,1
GyLjVOVPGKQ.005.mp4,train,1,0,0,0,1
53gtUkC7IZM.001.mp4,train,1,1,1,0,1
L5PkZA1ErYY.002.mp4,train,0,0,0,0,1
eZwGkhUa0TQ.005.mp4,train,0,0,0,0,0
Wby2oMliGz0.005.mp4,train,3,3,3,3,3
PxkMDzORBPE.005.mp4,train,1,3,2,2,1
WUNXs4r_xCU.003.mp4,train,1,1,1,1,2
sBHv1jYmZQE.004.mp4,train,2,0,2,1,1
me15sHPOjKo.005.mp4,train,2,3,2,3,3
LBrmHHzyIiY.002.mp4,train,0,0,0,1,0
uqd_cEJMJ4o.003.mp4,train,1,1,1,0,2
oqXx6ipHfUE.000.mp4,train,0,0,0,0,3
i4IVTm3uvoM.000.mp4,train,3,1,3,2,1
oU7zAWm_01o.003.mp4,train,2,2,2,3,2
cOirMOCpdo8.000.mp4,train,0,2,0,0,0
Ft0ahViXZPc.003.mp4,train,2,3,3,1,2
bcRPLKygrNk.000.mp4,train,1,0,0,0,1
OLFhKCgexRU.001.mp4,train,2,3,3,3,2
ic_LECbCm5M.004.mp4,train,1,1,2,2,2
Shf0JB_MutI.001.mp4,train,2,1,3,2,1
GCkOL2jLSQA.005.mp4,train,1,2,1,2,2
51KRxB3g7A8.000.mp4,train,3,1,2,1,2
USicjVA1trA.003.mp4,train,2,2,3,2,3
YiX6thczM1w.002.mp4,train,1,2,1,2,2
HrddpXxWFns.002.mp4,train,1,3,2,2,2
voXr6-ykd1w.000.mp4,train,2,2,0,1,3
3LAaFUSGvsU.001.mp4,train,0,1,1,3,1
XvV4YdhpC2w.001.mp4,train,1,2,3,1,2
K-iwJMxjyx4.000.mp4,train,3,3,3,1,2
kL-CeaXG9jM.002.mp4,train,2,1,3,2,1
OmXuhT4yJpo.000.mp4,train,3,2,3,3,3
ROTx-0q1F9M.001.mp4,train,2,1,2,1,2
vR7YF7Zv5-Q.000.mp4,train,0,0,1,0,0
DXw4lVoiiWY.004.mp4,train,1,1,3,1,0
OckL7z_nBGg.004.mp4,train,0,1,2,2,1
5kwoq4EZixQ.001.mp4,train,2,3,2,1,2
7tlMys6MZ34.003.mp4,train,2,2,0,2,2
jOTlJwOBSd4.003.mp4,train,2,2,2,1,1
4F-WBGPXiqQ.001.mp4,train,1,0,1,0,1
haxhAfuccuE.000.mp4,train,2,3,2,2,2
mEQBB6XsJFk.001.mp4,train,3,2,3,2,3
Vj-Cmtqv_qY.001.mp4,train,2,2,0,2,3
6EMgu2djYrU.002.mp4,train,3,3,2,1,3
gipWTZy9mjI.002.mp4,train,0,0,2,1,0
c4YxfATgYkw.002.mp4,train,3,0,2,2,1
TursJyaFzqY.004.mp4,train,1,2,0,2,1
x57nEfACdXA.002.mp4,train,3,3,3,3,1
AWe6ZZUmlZw.004.mp4,train,2,1,2,1,1
U-PRay-woXU.002.mp4,train,3,3,2,3,3
F5iykLTSCJc.000.mp4,train,0,0,0,0,0
Dq7Uep06KOQ.001.mp4,train,1,0,0,0,2
K63T9l1xY7U.003.mp4,train,2,1,2,2,3
JxxF9y61ujA.005.mp4,train,1,3,2,1,2
RhFPotjd0hM.004.mp4,train,2,2,3,3,2
CV930dFsubs.000.mp4,train,0,0,1,0,0
BLeDNfK2quI.004.mp4,train,2,1,3,3,2
p5v75vAZ7F0.005.mp4,train,2,1,1,0,1
aptKaxP81xA.004.mp4,train,1,1,1,3,0
9Crw2RtrBcY.001.mp4,train,2,3,2,3,2
outvbZgNX58.000.mp4,train,0,0,1,1,0
y--uBBy7ebM.005.mp4,train,1,1,1,1,2
1mfrM-FT-5E.000.mp4,train,0,0,0,0,0
KfurkMyjD-c.001.mp4,train,1,2,2,0,2
tutTFKP_fdg.005.mp4,train,2,2,1,1,1
NFAlff6GUpA.005.mp4,train,1,2,2,2,2
NdAJGXf8aos.005.mp4,train,3,2,2,2,2
3taD1fEPfC8.003.mp4,train,0,0,0,0,1
nGGtTu6dSJE.000.mp4,train,0,0,0,0,0
ZaihsIQZCx8.002.mp4,train,2,0,1,2,2
2rV3Ibtdnvs.000.mp4,train,2,2,2,1,2
1yIGI42lzak.001.mp4,train,0,1,1,1,1
Ay7bZ7Sgx9Q.004.mp4,train,0,0,1,2,0
Y8gv_ZK3w4A.000.mp4,train,2,2,1,2,2
rXoCKj1qwn4.001.mp4,train,3,3,3,2,3
lkdQjIunxSE.002.mp4,train,2,3,1,3,3
D_FGBb-1B1o.002.mp4,train,2,2,1,2,3
v0jtovM6Ajg.000.mp4,train,3,3,2,2,3
pzfDth6nFQE.000.mp4,train,0,0,0,0,0
QsUj_OlGQ-0.000.mp4,train,2,2,3,1,1
b-qfeGqPd04.000.mp4,train,0,0,1,0,0
WuIKjBb7s4Q.004.mp4,train,0,1,0,1,0
8dVcA5J1Dcw.000.mp4,train,1,1,1,2,0
p_Z4QGqu4Qo.001.mp4,train,2,1,3,2,2
4nir0YtjHVs.002.mp4,train,3,3,1,1,3
MOobNUpfWiY.002.mp4,train,0,1,1,0,0
JBiq9X_-r84.000.mp4,train,1,1,2,2,2
t0AupkXkkZw.001.mp4,train,3,3,2,1,3
Sdqg-jn_tBk.000.mp4,train,0,2,2,3,1
A7exx3pEPkE.000.mp4,train,0,0,0,0,0
uRY3aJAaogw.002.mp4,train,0,1,3,3,0
opEoJBrcmbI.001.mp4,train,2,0,0,1,0
dy9EqbKLDP0.003.mp4,train,2,3,3,3,3
N5nIQZMW_ig.003.mp4,train,2,3,3,1,3
UEYKBC_SuzU.004.mp4,train,2,1,1,0,2
6WSr4IW6cNI.003.mp4,train,0,1,1,0,0
CESTtNvDpww.003.mp4,train,3,3,3,3,2
PxpbeM9VavA.001.mp4,train,3,2,3,2,2
fY4tctYZTz8.005.mp4,train,0,0,0,1,0
Rp_gyvKE4hI.001.mp4,train,1,0,1,1,1
VvSk5m90xOs.003.mp4,train,0,0,0,0,0
mhF4kYTlVUE.001.mp4,train,1,1,2,1,0
BA5qWO9eU2Y.000.mp4,train,1,1,0,3,2
f7E26XfU8rw.003.mp4,train,3,2,2,1,1
3Vr5-zedeWk.003.mp4,train,0,0,0,2,0
r2HcJYjGK5s.001.mp4,train,1,0,0,1,1
R0RURVpmU9M.004.mp4,train,3,2,2,1,3
7IegDaeNlik.003.mp4,train,0,0,1,0,0
f5jPfJYvihA.000.mp4,train,0,1,1,1,0
gWCgqVn3m3k.000.mp4,train,3,3,3,3,3
HUHFlCs3YJ8.005.mp4,train,0,2,2,3,3
EHPZNxP5mN8.000.mp4,train,3,3,3,3,2
vE9XgQL7DGE.003.mp4,train,1,0,2,0,0
qyzuaettjU8.004.mp4,train,1,0,1,1,2
FwjoTGcsFNg.003.mp4,train,3,3,3,3,3
j-XUQ3Rmq6w.003.mp4,train,0,0,1,1,0
t6-ljEWQjW8.000.mp4,train,0,0,0,0,0
xeE08Vn-HXI.001.mp4,train,1,0,1,0,1
A0braVJH3Pw.002.mp4,train,0,0,0,1,0
7b9DirXrkHo.003.mp4,train,1,1,1,0,3
y--uBBy7ebM.004.mp4,train,1,1,1,1,1
bMY2DaFFwzU.000.mp4,train,1,0,1,2,2
KIhpjwf5uAA.001.mp4,train,1,2,2,3,2
mhvkJjOAjYI.004.mp4,train,3,2,3,3,3
Fco1CMgOadI.003.mp4,train,3,3,3,3,3
M0U48Lm33A8.003.mp4,train,1,3,3,1,2
k4eeYoHtnnI.004.mp4,train,2,1,1,1,1
3gKpBq-1yG4.003.mp4,train,0,0,1,0,1
jVGTEDAYWZ8.003.mp4,train,1,1,3,2,1
9J-KIPMQmqk.004.mp4,train,1,2,2,3,2
GyLjVOVPGKQ.004.mp4,train,2,1,0,0,1
UipoC_HLOP0.004.mp4,train,0,1,3,3,0
AR3UwbmgKuQ.004.mp4,train,0,0,0,0,0
muLgzV1gGao.005.mp4,train,0,1,1,1,0
Cl7vQ9QR0es.002.mp4,train,2,3,1,1,2
E3z1D7CKoOA.000.mp4,train,0,0,1,1,0
mlsiYewUwO0.002.mp4,train,3,3,3,3,3
ABWFQuPG1LA.004.mp4,train,1,1,0,1,3
lnawWqnGpMc.004.mp4,train,2,1,1,1,2
l-WgXcGLdZk.005.mp4,train,2,3,3,2,3
ga_XczsO4eY.005.mp4,train,2,2,2,2,2
OmXuhT4yJpo.005.mp4,train,3,3,2,3,3
AwNVGShHjvw.001.mp4,train,1,1,1,0,2
U_QQ8EuuWPg.001.mp4,train,0,3,1,1,2
e6YTvjDXEl0.001.mp4,train,2,2,3,2,1
qtB-CogljAo.001.mp4,train,1,1,2,2,2
OtGJDbI9qkM.005.mp4,train,2,3,3,3,2
Zwu5Y5r3Lrs.001.mp4,train,0,2,2,0,2
C2MEPH7x9m0.001.mp4,train,2,1,2,2,2
117jrwvl2Nc.000.mp4,train,3,3,3,2,3
4JjpfL4y3XM.000.mp4,train,2,2,1,3,3
iPblZBQpafs.002.mp4,train,0,0,0,0,0
3JzvXA-Zfbs.000.mp4,train,1,1,1,1,1
bLOSPQ8MAC8.001.mp4,train,0,2,1,2,0
fecQUZ-ehKQ.002.mp4,train,2,3,3,3,3
7QeVs-mXmcI.003.mp4,train,3,3,3,3,3
PCmec_zcu_w.002.mp4,train,3,3,2,1,3
6JfSPPVUgIg.005.mp4,train,1,0,0,0,1
p5v75vAZ7F0.003.mp4,train,1,0,0,0,1
Z9GzSxQHKSI.001.mp4,train,2,1,0,2,1
4bDOetaLvZs.004.mp4,train,0,0,0,0,0
7kO7jYYUVWg.004.mp4,train,3,2,1,1,3
OhHg1lyxe4I.001.mp4,train,0,0,0,0,0
SIpQm4G4DDg.000.mp4,train,0,0,0,0,0
opyTSeVCYtE.002.mp4,train,1,1,0,1,2
V1I40vVRk78.002.mp4,train,1,2,2,1,2
f9GeYKAXgAQ.000.mp4,train,0,1,1,3,0
iW1t-ZiG2rc.000.mp4,train,2,3,3,3,2
7BgScfRre5M.001.mp4,train,3,1,1,1,2
xLfLuyIQOJE.003.mp4,train,0,1,1,1,0
8py6SksNsZQ.002.mp4,train,1,2,1,0,2
ciWUq6iQTIE.000.mp4,train,1,0,1,0,1
fSkQXqXR7D0.001.mp4,train,2,3,3,1,3
TwWDFpN3occ.001.mp4,train,2,3,3,2,2
fTpemcfElxI.004.mp4,train,1,2,0,1,1
voXr6-ykd1w.002.mp4,train,0,1,1,0,3
cSyVbIYfwxA.004.mp4,train,2,3,3,3,2
2TMl5EMrdVI.004.mp4,train,0,0,0,2,0
DzqJmiQjsZ4.000.mp4,train,2,2,1,2,1
I53JQFtiQxM.000.mp4,train,2,1,0,2,1
WMp0lsXbOqM.003.mp4,train,3,3,3,3,3
XOioICna1hc.005.mp4,train,1,0,0,1,0
dLltwqkvsNg.001.mp4,train,2,2,3,2,1
JIYZTruMpiI.005.mp4,train,3,3,1,3,3
UcyjGGEBn30.001.mp4,train,3,3,3,3,3
yBlPsPBRv5E.002.mp4,train,2,3,2,2,2
CuGuiOZ48Ig.001.mp4,train,2,3,3,2,3
Zvdh8ym1Yrg.001.mp4,train,1,2,1,1,1
DxATjKPysfs.003.mp4,train,0,1,1,3,0
1AMp8Y_0UGc.004.mp4,train,2,1,1,0,0
YPMffqhP0C8.004.mp4,train,0,0,0,0,0
XJj34u5IzU0.002.mp4,train,3,3,3,2,3
6EMgu2djYrU.001.mp4,train,1,1,1,2,2
dLltwqkvsNg.002.mp4,train,1,0,1,1,0
VM409fZmJE0.000.mp4,train,0,0,1,0,0
qBG1mjC7Zgg.004.mp4,train,2,2,0,1,1
DnTtbAR_Qyw.002.mp4,train,3,2,1,2,3
H8h4fAGgV18.005.mp4,train,0,2,2,2,1
IXVf5VWxOAg.002.mp4,train,0,0,0,0,0
2P1FbMJLUAs.003.mp4,train,2,1,1,0,2
